언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
영어권,제주시,제주특별자치도,Manjanggul Lava Tube [National Geopark] (만장굴 (제주도 국가지질공원)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264236,자연,자연관광지,동굴,24093
영어권,제주시,제주특별자치도,Hallasan Mountain [National Geopark] (한라산 (제주도 국가지질공원)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264172,자연,자연관광지,산,14275
영어권,서귀포시,제주특별자치도,Seongsan Ilchulbong Tuff Cone [UNESCO World Heritage] (성산일출봉 [유네스코 세계문화유산]),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264207,자연,자연관광지,산,13762
영어권,서귀포시,제주특별자치도,Daepo Jusangjeolli Cliff (주상절리대(대포동지삿개)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264179,자연,자연관광지,해안절경,12204
영어권,서귀포시,제주특별자치도,Yeongsil Trail (Hallasan National Park) (한라산 영실),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1769098,자연,자연관광지,산,10251
영어권,서귀포시,제주특별자치도,Cheonjiyeonpokpo Falls [UNESCO Global Geopark] (천지연폭포 (제주도 국가지질공원)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264588,자연,자연관광지,폭포,8792
영어권,서귀포시,제주특별자치도,Cheonjeyeonpokpo Falls (천제연폭포),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264176,자연,자연관광지,폭포,7522
영어권,서귀포시,제주특별자치도,O'sulloc Tea Museum (오설록 티뮤지엄),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2670498,인문(문화/예술/역사),문화시설,전시관,7231
영어권,서귀포시,제주특별자치도,Seopjikoji (섭지코지),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264208,자연,자연관광지,해안절경,7051
영어권,서귀포시,제주특별자치도,Jeju Folk Village (제주민속촌),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268190,인문(문화/예술/역사),역사관광지,민속마을,6603
영어권,제주시,제주특별자치도,Jeju Loveland (제주러브랜드),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1056683,자연,자연관광지,자연생태관광지,6227
영어권,서귀포시,제주특별자치도,Camellia Hill (카멜리아힐),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1624990,자연,자연관광지,수목원,5480
영어권,제주시,제주특별자치도,Hallim Park (한림공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264552,인문(문화/예술/역사),휴양관광지,공원,4516
영어권,서귀포시,제주특별자치도,Jeju Yakcheonsa Temple (약천사(제주)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1348792,인문(문화/예술/역사),역사관광지,사찰,4353
영어권,서귀포시,제주특별자치도,Seongeup Folk Village (성읍민속마을),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264205,인문(문화/예술/역사),역사관광지,민속마을,4292
영어권,제주시,제주특별자치도,Hyeopjae Beach (협재해변),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264170,자연,자연관광지,해수욕장,4130
영어권,제주시,제주특별자치도,Sangumburi Crater (산굼부리),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264222,자연,자연관광지,산,3970
영어권,서귀포시,제주특별자치도,Jeju Sanbangsan Carbonate Hot Springs (제주 산방산탄산온천),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1876965,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,3813
영어권,서귀포시,제주특별자치도,Sanbangsan Mountain (산방산),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=778953,자연,자연관광지,산,3436
영어권,서귀포시,제주특별자치도,Jeongbangpokpo Falls (정방폭포),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264181,자연,자연관광지,폭포,3324
영어권,제주시,제주특별자치도,Hamdeok Seoubong Beach (함덕 서우봉해변 (함덕해수욕장)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1052165,자연,자연관광지,해수욕장,3115
영어권,서귀포시,제주특별자치도,Aqua Planet Jeju (아쿠아플라넷 제주),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2350810,인문(문화/예술/역사),휴양관광지,테마공원,2991
영어권,서귀포시,제주특별자치도,Hello Kitty Island (헬로키티아일랜드),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1964037,인문(문화/예술/역사),문화시설,전시관,2854
