언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
일본어,서귀포시,제주특별자치도,?泉寺（?州）약천사（제주）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1988666,인문(문화/예술/역사),역사관광지,사찰,1173
일본어,제주시,제주특별자치도,スヌ?ピ?ガ?デン（스누피가든）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2823529,자연,자연관광지,자연생태관광지,1077
일본어,제주시,제주특별자치도,漢拏山（?州島?家地質公園）（한라산（제주도 국가지질공원））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281821,자연,자연관광지,산,904
일본어,서귀포시,제주특별자치도,城邑民俗村（성읍민속마을）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281810,인문(문화/예술/역사),역사관광지,민속마을,697
일본어,서귀포시,제주특별자치도,o’sullocティ?ミュ?ジアム（오설록 티뮤지엄）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2660885,인문(문화/예술/역사),문화시설,전시관,655
일본어,서귀포시,제주특별자치도,中文?光?地（중문관광단지）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281804,인문(문화/예술/역사),휴양관광지,관광단지,576
일본어,제주시,제주특별자치도,東門在?市場（동문재래시장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1025168,쇼핑,쇼핑,상설시장,537
일본어,제주시,제주특별자치도,万丈窟（?州島?家地質公園）（만장굴（제주도 국가지질공원））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281805,자연,자연관광지,동굴,501
일본어,제주시,제주특별자치도,下貴涯月海岸道路（하귀애월해안도로）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2823577,자연,자연관광지,자연생태관광지,419
일본어,제주시,제주특별자치도,咸? 犀牛峰海岸（咸?海水浴場）（함덕 서우봉 해변（함덕해수욕장））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1067584,자연,자연관광지,해수욕장,390
일본어,제주시,제주특별자치도,?州4·3平和公園（제주4·3평화공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2011978,인문(문화/예술/역사),휴양관광지,공원,347
일본어,서귀포시,제주특별자치도,加波島（가파도）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1954422,자연,자연관광지,섬,334
일본어,서귀포시,제주특별자치도,漢拏山 白鹿潭（한라산 백록담）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282161,자연,자연관광지,자연생태관광지,328
일본어,서귀포시,제주특별자치도,西?浦?日オルレ市場（서귀포매일올레시장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1025193,쇼핑,쇼핑,상설시장,319
일본어,서귀포시,제주특별자치도,正房?（정방폭포）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281801,자연,자연관광지,폭포,316
일본어,서귀포시,제주특별자치도,天地淵?（?州島?家地質公園）（천지연폭포（제주도 국가지질공원））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282123,자연,자연관광지,폭포,294
일본어,서귀포시,제주특별자치도,サリョニ林道（사려니숲길）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2476559,레포츠,육상 레포츠,트래킹,273
일본어,서귀포시,제주특별자치도,休愛里自然生活公園（휴애리 자연생활공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1068910,인문(문화/예술/역사),휴양관광지,공원,265
일본어,서귀포시,제주특별자치도,カメリアヒル（카멜리아힐）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1992607,자연,자연관광지,수목원,263
일본어,제주시,제주특별자치도,??浦（구엄포구）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2822772,자연,자연관광지,항구/포구,260
일본어,서귀포시,제주특별자치도,天帝淵?（천제연폭포）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281797,자연,자연관광지,폭포,253
일본어,제주시,제주특별자치도,海女博物館（해녀박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282392,인문(문화/예술/역사),문화시설,박물관,226
일본어,제주시,제주특별자치도,?州 オリエンタルホテル カジノ（제주 오리엔탈호텔 카지노）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282198,레포츠,육상 레포츠,카지노,223
일본어,제주시,제주특별자치도,牛島（海洋道立公園）（우도（해양도립공원））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281814,자연,자연관광지,섬,222
일본어,서귀포시,제주특별자치도,セソム セヨン橋（새섬 새연교）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2652192,인문(문화/예술/역사),건축/조형물,다리/대교,210
일본어,제주시,제주특별자치도,翰林公園（한림공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282089,인문(문화/예술/역사),휴양관광지,공원,208
일본어,서귀포시,제주특별자치도,ソプチコジ（섭지코지）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281811,자연,자연관광지,해안절경,204
일본어,제주시,제주특별자치도,拒文オルム［ユネスコ世界遺産（自然遺産）］（거문오름［세계자연유산］）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1065651,자연,자연관광지,산,199
일본어,서귀포시,제주특별자치도,山房山（?州）（산방산（제주））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1068893,자연,자연관광지,산,190
일본어,서귀포시,제주특별자치도,西?浦治癒の森（서귀포 치유의 숲）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2810932,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,188
일본어,제주시,제주특별자치도,梨湖テウ海岸（이호테우해변）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1954481,자연,자연관광지,해수욕장,184
일본어,제주시,제주특별자치도,牛島 珊瑚海岸（西浜白沙）（우도 산호해변（서빈백사））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2358259,자연,자연관광지,해수욕장,176
일본어,제주시,제주특별자치도,?州ビ?ル（제주맥주）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2549578,인문(문화/예술/역사),산업관광지,식음료,158
일본어,제주시,제주특별자치도,メイズランド（메이즈랜드）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2027218,인문(문화/예술/역사),휴양관광지,테마공원,152
일본어,제주시,제주특별자치도,月汀里海岸（月汀里海水浴場）（월정리해변（월정리해수욕장））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2021443,자연,자연관광지,해수욕장,151
일본어,서귀포시,제주특별자치도,西?浦?水艦（서귀포잠수함）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1068987,인문(문화/예술/역사),휴양관광지,유람선/잠수함관광,150
