언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
중간체,서귀포시,제주특별자치도,城山日出峰[?合?指定世界自然??]성산일출봉 [유네스코 세계자연유산],https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331305,자연,자연관광지,산,2041
중간체,제주시,제주특별자치도,?拿山徒步行(한라산 트레킹),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1076170,레포츠,육상 레포츠,트래킹,1750
중간체,제주시,제주특별자치도,月汀里海?(月汀里海水浴?)월정리해변(월정리해수욕장),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2050453,자연,자연관광지,해수욕장,1648
중간체,서귀포시,제주특별자치도,涉地可支(섭지코지),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331313,자연,자연관광지,해안절경,1135
중간체,제주시,제주특별자치도,山君不?(산굼부리),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331302,자연,자연관광지,산,1068
중간체,서귀포시,제주특별자치도,正房瀑布정방폭포,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331295,자연,자연관광지,폭포,1043
중간체,서귀포시,제주특별자치도,思?伊森林步道（사려니숲길）,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=2825043,레포츠,육상 레포츠,트래킹,935
중간체,제주시,제주특별자치도,?州道立美??(제주도립미술관),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1885988,인문(문화/예술/역사),문화시설,미술관/화랑,881
중간체,서귀포시,제주특별자치도,大浦洞柱??理?주상절리(대포동지삿개),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331296,자연,자연관광지,해안절경,860
중간체,서귀포시,제주특별자치도,西?斯酒店&度假村(씨에스 호텔&리조트),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=350501,숙박,숙박시설,관광호텔,772
중간체,서귀포시,제주특별자치도,?州泰迪熊博物?(제주 테디베어뮤지엄),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331616,인문(문화/예술/역사),문화시설,박물관,662
중간체,서귀포시,제주특별자치도,天地?瀑布천지연폭포,https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331522,자연,자연관광지,폭포,650
중간체,제주시,제주특별자치도,?拿山(?州??家地?公?)한라산 (제주도 국가지질공원),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331332,자연,자연관광지,산,577
중간체,서귀포시,제주특별자치도,城邑民俗村(성읍민속마을),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=331303,인문(문화/예술/역사),역사관광지,민속마을,494
중간체,서귀포시,제주특별자치도,西?浦?水艇(서귀포잠수함),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1079215,인문(문화/예술/역사),휴양관광지,유람선/잠수함관광,493
중간체,서귀포시,제주특별자치도,山房山(산방산),https://chinese.visitkorea.or.kr/chs/ATR/SI_CHG_2_1_1_1.jsp?cid=1076484,자연,자연관광지,산,453
