순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,738087
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,299851
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,280206
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),209582
5,협재해수욕장,제주 제주시,자연경관(하천/해양),198994
6,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),191817
7,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,121117
8,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,117498
9,아쿠아플라넷제주,제주 서귀포시 섭지코지로 95-0,테마공원,117223
10,곽지해수욕장,제주 제주시,자연경관(하천/해양),111750
11,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,111012
12,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,99886
13,비자림,제주 제주시 비자숲길 55-0,자연공원,95816
14,스누피가든,제주 제주시 금백조로 930-0,기타관광,95330
15,그랜드하얏트제주,제주 제주시 노연로 12-0,호텔,91652
16,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,87701
17,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,83163
18,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),82960
19,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),82652
20,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,81856
21,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,80170
22,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),75954
23,신창풍차해안도로,제주 제주시,데이트코스,75789
24,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,74245
25,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,72306
26,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,70637
27,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,69434
28,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,68834
29,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,65411
30,용두암,제주 제주시 용두암길 15-0,기타관광,64530
31,정방폭포,제주 서귀포시,자연경관(산),64243
32,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,61772
33,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,61220
34,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,60205
35,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,58244
36,표선해수욕장,제주 서귀포시,자연경관(하천/해양),56177
37,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,55453
38,월정리해변,제주 제주시,자연경관(하천/해양),55183
39,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,54710
40,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,54317
41,새별오름,제주 제주시,자연관광(산),53894
42,제주신화월드신화리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,53824
43,만장굴,제주 제주시 만장굴길 182-0,자연생태,52789
44,금오름,제주 제주시,자연관광(산),51818
45,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,50854
46,성산항,제주 서귀포시,자연경관(하천/해양),50693
47,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,50487
48,산방산,제주 서귀포시 산방로 218-10,자연경관(산),50427
49,사계해수욕장,제주 서귀포시,자연경관(하천/해양),50301
50,9.81파크,제주 제주시 천덕로 880-24,테마공원,50076
50,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원,50076
52,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,49863
53,하귀애월해안도로,제주 제주시,데이트코스,49373
54,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,48820
55,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,47123
56,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,46468
57,광치기해변,제주 서귀포시,자연경관(하천/해양),43569
58,도두동무지개해안도로,제주 제주시,데이트코스,42776
59,노형수퍼마?,제주 제주시 노형로 89-0,기타문화관광지,41790
60,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,41450
61,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,41412
62,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,41194
63,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,39999
64,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,39335
65,판포포구,제주 제주시,자연경관(하천/해양),39286
66,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,38717
67,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,38236
68,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,37990
69,그랜드조선제주,제주 서귀포시 중문관광로72번길 60-0,호텔,36259
70,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),36232
71,빛의벙커,제주 서귀포시 서성일로1168번길 89-17,전시시설,36180
72,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,35645
73,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),35467
74,윈드1947카트테마파크,제주 서귀포시 토평공단로 78-27,기타레저스포츠,35226
75,비밀의숲,제주 제주시,기타레저스포츠,34080
76,이마트제주점,제주 제주시 탑동로 38-0,대형마트,32666
77,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,32564
78,운진항,제주 서귀포시 최남단해안로 0-0,자연경관(하천/해양),32520
79,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,32111
80,파르나스호텔제주,제주 서귀포시 중문관광로72번길 100-0,호텔,31858
81,한림공원,제주 제주시 한림로 300-0,도시공원,31650
82,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,31450
83,성이시돌목장,제주 제주시 금악동길 35-0,농/산/어촌체험,31332
84,신라스테이제주,제주 제주시 노연로 100-0,호텔,31147
85,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,30674
86,산굼부리,제주 제주시,복합관광시설,30060
87,수목원길야시장,제주 제주시,시장,29290
88,송악산둘레길,제주 서귀포시,기타레저스포츠,28201
89,녹산로유채꽃도로,제주 서귀포시,데이트코스,28188
90,약천사,제주 서귀포시 이어도로 293-28,종교성지,27907
91,제주아트서커스,제주 서귀포시 동광로 214-0,공연시설,26823
92,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),26644
93,아침미소목장,제주 제주시 첨단동길 160-20,농/산/어촌체험,26643
94,롯데시티호텔제주,제주 제주시 도령로 83-0,호텔,26229
95,제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,25855
96,제주항제6부두,제주 제주시 임항로 191-0,자연경관(하천/해양),25459
97,제주항국제여객선터미널,제주 제주시 임항로 191-0,교통시설,25004
98,제주민속오일시장,제주 제주시 오일장서길 26-0,시장,24917
99,베스트웨스턴제주호텔,제주 제주시 도령로 27-0,호텔,24877
100,라마다제주시티홀호텔,제주 제주시 중앙로 304-0,호텔,24482
