순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,
1,제주특별자치도,서귀포시,천지연폭포,202203,54179.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202204,81001.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202205,101025.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202206,98568.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202207,84472.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202208,98799.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202209,86571.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202210,118553.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202211,80814.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202212,52032.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202301,0.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202302,0.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202303,0.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202304,0.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202305,0.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202306,0.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202307,0.0,856014.0
1,제주특별자치도,서귀포시,천지연폭포,202308,0.0,856014.0
2,제주특별자치도,제주시,비자림,202203,55537.0,767034.0
2,제주특별자치도,제주시,비자림,202204,83283.0,767034.0
2,제주특별자치도,제주시,비자림,202205,101682.0,767034.0
2,제주특별자치도,제주시,비자림,202206,92801.0,767034.0
2,제주특별자치도,제주시,비자림,202207,75285.0,767034.0
2,제주특별자치도,제주시,비자림,202208,76323.0,767034.0
2,제주특별자치도,제주시,비자림,202209,70736.0,767034.0
2,제주특별자치도,제주시,비자림,202210,100022.0,767034.0
2,제주특별자치도,제주시,비자림,202211,71151.0,767034.0
2,제주특별자치도,제주시,비자림,202212,40214.0,767034.0
2,제주특별자치도,제주시,비자림,202301,0.0,767034.0
2,제주특별자치도,제주시,비자림,202302,0.0,767034.0
2,제주특별자치도,제주시,비자림,202303,0.0,767034.0
2,제주특별자치도,제주시,비자림,202304,0.0,767034.0
2,제주특별자치도,제주시,비자림,202305,0.0,767034.0
2,제주특별자치도,제주시,비자림,202306,0.0,767034.0
2,제주특별자치도,제주시,비자림,202307,0.0,767034.0
2,제주특별자치도,제주시,비자림,202308,0.0,767034.0
3,제주특별자치도,서귀포시,중문대포해안주상절리대,202203,49739.0,751430.0
3,제주특별자치도,서귀포시,중문대포해안주상절리대,202204,76718.0,751430.0
3,제주특별자치도,서귀포시,중문대포해안주상절리대,202205,106077.0,751430.0
3,제주특별자치도,서귀포시,중문대포해안주상절리대,202206,100112.0,751430.0
3,제주특별자치도,서귀포시,중문대포해안주상절리대,202207,69029.0,751430.0
3,제주특별자치도,서귀포시,중문대포해안주상절리대,202208,75048.0,751430.0
3,제주특별자치도,서귀포시,중문대포해안주상절리대,202209,81094.0,751430.0
3,제주특별자치도,서귀포시,중문대포해안주상절리대,202210,113532.0,751430.0
