순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,
1,제주특별자치도,서귀포시,천지연폭포,202203,54341.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202204,81245.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202205,101880.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202206,99765.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202207,85625.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202208,100322.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202209,88710.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202210,120348.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202211,83224.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202212,54220.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202301,0.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202302,0.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202303,0.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202304,0.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202305,0.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202306,0.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202307,0.0,869680.0
1,제주특별자치도,서귀포시,천지연폭포,202308,0.0,869680.0
2,제주특별자치도,제주시,비자림,202203,55583.0,769637.0
2,제주특별자치도,제주시,비자림,202204,83378.0,769637.0
2,제주특별자치도,제주시,비자림,202205,101833.0,769637.0
2,제주특별자치도,제주시,비자림,202206,93071.0,769637.0
2,제주특별자치도,제주시,비자림,202207,75509.0,769637.0
2,제주특별자치도,제주시,비자림,202208,76566.0,769637.0
2,제주특별자치도,제주시,비자림,202209,71030.0,769637.0
2,제주특별자치도,제주시,비자림,202210,100481.0,769637.0
2,제주특별자치도,제주시,비자림,202211,71591.0,769637.0
2,제주특별자치도,제주시,비자림,202212,40595.0,769637.0
2,제주특별자치도,제주시,비자림,202301,0.0,769637.0
