순위,업소명,주소,분류,외지인 검색 수
1,우진해장국,제주 제주시 서사로 11-0,한식,121698
2,오는정김밥,제주 서귀포시 동문동로 2-0,간이음식,77273
3,자매국수본점,제주 제주시 항골남길 46-0,한식,75134
4,원앤온리,제주 서귀포시 산방로 141-0,카페/찻집,62155
5,노티드제주,제주 제주시 애월로1길 24-9,카페/찻집,58643
6,더클리프,제주 서귀포시 중문관광로 154-17,카페/찻집,53103
7,애월카페거리,제주 제주시 애월북서길 56-1,음식점기타,45176
8,랜디스도넛제주직영점,제주 제주시 애월로 27-1,간이음식,43631
9,숙성도중문점,제주 서귀포시 일주서로 966-0,한식,38167
10,숙성도노형본관,제주 제주시 원노형로 41-0,한식,35171
11,블루보틀제주,제주 제주시 번영로 2133-30,카페/찻집,35047
12,고집돌우럭중문점,제주 서귀포시 일주서로 879-0,한식,34532
13,델문도,제주 제주시 조함해안로 519-10,카페/찻집,31776
14,올래국수본점,제주 제주시 귀아랑길 24-0,한식,30392
15,연돈,제주 서귀포시 일주서로 968-10,전문음식,29405
16,스타벅스제주성산DT점,제주 서귀포시 일출로 80-0,카페/찻집,29035
17,미영이네식당,제주 서귀포시 하모항구로 42-0,전문음식,27837
18,춘심이네본점,제주 서귀포시 창천중앙로24번길 16-0,한식,27150
19,스타벅스제주애월DT점,제주 제주시 애월해안로 376-0,카페/찻집,26343
20,스타벅스제주중문DT점,제주 서귀포시 천제연로 95-0,카페/찻집,25895
21,명진전복,제주 제주시 해맞이해안로 1282-0,전문음식,25803
22,제주김만복본점,제주 제주시 오라로 41-0,간이음식,25556
23,미쁜제과,제주 서귀포시 도원남로 16-0,카페/찻집,25393
24,스타벅스제주서해안로DT점,제주 제주시 서해안로 624-0,카페/찻집,25004
25,목장카페드르쿰다,제주 서귀포시 번영로 2454-0,카페/찻집,24544
26,중문수두리보말칼국수,제주 서귀포시 천제연로 192-0,한식,24132
27,제주광해애월점,제주 제주시 애월해안로 867-0,전문음식,24017
28,고집돌우럭제주공항점,제주 제주시 임항로 30-0,한식,23340
29,스타벅스제주용담DT점,제주 제주시 서해안로 380-0,카페/찻집,23033
30,가시아방국수,제주 서귀포시 섭지코지로 10-0,한식,22676
31,이춘옥원조고등어쌈밥,제주 제주시 일주서로 7213-0,한식,22011
32,UMU,제주 제주시 한림로 542-1,카페/찻집,22000
33,스타벅스제주중문점,제주 서귀포시 중문관광로110번길 32-0,카페/찻집,21837
34,호텔샌드,제주 제주시 한림로 339-0,카페/찻집,21590
35,도두해녀의집,제주 제주시 도두항길 16-0,전문음식,21587
36,마노르블랑,제주 서귀포시 일주서로2100번길 46-0,카페/찻집,20872
37,오드랑베이커리,제주 제주시 조함해안로 552-3,간이음식,20567
38,허니문하우스,제주 서귀포시 칠십리로 228-13,카페/찻집,20320
39,애월빵공장앤카페,제주 제주시 금성5길 42-15,간이음식,20062
