순위,업소명,주소,분류,
1,우진해장국,제주 제주시 서사로 11-0,한식,151638
2,오는정김밥,제주 서귀포시 동문동로 2-0,간이음식,97635
3,자매국수본점,제주 제주시 항골남길 46-0,한식,93672
4,원앤온리,제주 서귀포시 산방로 141-0,카페/찻집,77441
5,노티드제주,제주 제주시 애월로1길 24-9,카페/찻집,76627
6,더클리프,제주 서귀포시 중문관광로 154-17,카페/찻집,65644
7,랜디스도넛제주직영점,제주 제주시 애월로 27-1,간이음식,58790
8,애월카페거리,제주 제주시 애월북서길 56-1,음식점기타,58088
9,블루보틀제주,제주 제주시 번영로 2133-30,카페/찻집,50530
10,숙성도중문점,제주 서귀포시 일주서로 966-0,한식,47811
11,숙성도노형본관,제주 제주시 원노형로 41-0,한식,45337
12,고집돌우럭중문점,제주 서귀포시 일주서로 879-0,한식,43652
13,델문도,제주 제주시 조함해안로 519-10,카페/찻집,41094
14,스타벅스제주애월DT점,제주 제주시 애월해안로 376-0,카페/찻집,40157
15,연돈,제주 서귀포시 일주서로 968-10,전문음식,39458
16,스타벅스제주성산DT점,제주 서귀포시 일출로 80-0,카페/찻집,37163
17,올래국수본점,제주 제주시 귀아랑길 24-0,한식,37021
18,미쁜제과,제주 서귀포시 도원남로 16-0,카페/찻집,35118
19,스타벅스제주서해안로DT점,제주 제주시 서해안로 624-0,카페/찻집,35107
20,미영이네식당,제주 서귀포시 하모항구로 42-0,전문음식,34159
21,스타벅스제주중문DT점,제주 서귀포시 천제연로 95-0,카페/찻집,33932
22,스타벅스제주용담DT점,제주 제주시 서해안로 380-0,카페/찻집,33413
23,춘심이네본점,제주 서귀포시 창천중앙로24번길 16-0,한식,33389
24,명진전복,제주 제주시 해맞이해안로 1282-0,전문음식,32562
25,제주김만복본점,제주 제주시 오라로 41-0,간이음식,31401
26,중문수두리보말칼국수,제주 서귀포시 천제연로 192-0,한식,31227
27,제주광해애월점,제주 제주시 애월해안로 867-0,전문음식,31218
28,목장카페드르쿰다,제주 서귀포시 번영로 2454-0,카페/찻집,30668
