순위,업소명,주소,분류,현지인 검색 수
1,우진해장국,제주 제주시 서사로 11-0,한식,29940
2,오는정김밥,제주 서귀포시 동문동로 2-0,간이음식,20362
3,자매국수본점,제주 제주시 항골남길 46-0,한식,18538
4,노티드제주,제주 제주시 애월로1길 24-9,카페/찻집,17984
5,블루보틀제주,제주 제주시 번영로 2133-30,카페/찻집,15483
6,원앤온리,제주 서귀포시 산방로 141-0,카페/찻집,15286
7,랜디스도넛제주직영점,제주 제주시 애월로 27-1,간이음식,15159
8,스타벅스제주애월DT점,제주 제주시 애월해안로 376-0,카페/찻집,13814
9,애월카페거리,제주 제주시 애월북서길 56-1,음식점기타,12912
10,더클리프,제주 서귀포시 중문관광로 154-17,카페/찻집,12541
11,런던베이글뮤지엄제주점,제주 제주시 동복로 85-0,간이음식,11629
12,늘봄흑돼지,제주 제주시 한라대학로 12-0,한식,11357
13,스타벅스제주용담DT점,제주 제주시 서해안로 380-0,카페/찻집,10380
14,숙성도노형본관,제주 제주시 원노형로 41-0,한식,10166
15,스타벅스제주서해안로DT점,제주 제주시 서해안로 624-0,카페/찻집,10103
16,연돈,제주 서귀포시 일주서로 968-10,전문음식,10053
17,미쁜제과,제주 서귀포시 도원남로 16-0,카페/찻집,9725
18,숙성도중문점,제주 서귀포시 일주서로 966-0,한식,9644
19,델문도,제주 제주시 조함해안로 519-10,카페/찻집,9318
20,맥도날드제주노형DT점,제주 제주시 노연로 7-0,간이음식,9139
21,고집돌우럭중문점,제주 서귀포시 일주서로 879-0,한식,9120
22,오드랑베이커리,제주 제주시 조함해안로 552-3,간이음식,8901
23,스타벅스서귀포DT점,제주 서귀포시 일주서로 11-0,카페/찻집,8204
24,스타벅스제주성산DT점,제주 서귀포시 일출로 80-0,카페/찻집,8128
25,스타벅스제주중문DT점,제주 서귀포시 천제연로 95-0,카페/찻집,8037
26,카페루시아본점,제주 서귀포시 난드르로 49-17,카페/찻집,7830
27,애월빵공장앤카페,제주 제주시 금성5길 42-15,간이음식,7412
28,우동카덴,제주 제주시 교래3길 23-0,외국식,7372
29,곰막식당,제주 제주시 구좌해안로 64-0,한식,7335
30,제주하멜,제주 제주시 노형2길 51-3,간이음식,7240
31,UMU,제주 제주시 한림로 542-1,카페/찻집,7238
32,제주광해애월점,제주 제주시 애월해안로 867-0,전문음식,7201
33,이춘옥원조고등어쌈밥,제주 제주시 일주서로 7213-0,한식,7141
34,중문수두리보말칼국수,제주 서귀포시 천제연로 192-0,한식,7095
35,스타벅스제주함덕점,제주 제주시 조함해안로 522-0,카페/찻집,7074
36,스타벅스제주외도DT점,제주 제주시 일주서로 7300-0,카페/찻집,6946
37,스타벅스제주도남DT점,제주 제주시 연북로 394-0,카페/찻집,6911
38,카페진정성종점,제주 제주시 서해안로 124-0,카페/찻집,6902
