기준연월,업종대분류명,소비액(천원)
202203,숙박업,1.2007297E7
202203,여행업,388560.0
202203,운송업,4803789.0
202203,쇼핑업,2.5544206E7
202203,여가서비스업,8224012.0
202203,식음료업,3.3506538E7
202204,숙박업,1.6079025E7
202204,여행업,467841.0
202204,운송업,6515144.0
202204,쇼핑업,3.3216528E7
202204,여가서비스업,1.0536072E7
202204,식음료업,4.4580103E7
202205,숙박업,1.8866473E7
202205,여행업,541088.0
202205,운송업,7514411.0
202205,쇼핑업,3.3994215E7
202205,여가서비스업,1.2039591E7
202205,식음료업,5.0025325E7
202206,숙박업,1.8804519E7
202206,여행업,464173.0
202206,운송업,7383760.0
202206,쇼핑업,3.257489E7
202206,여가서비스업,1.1057749E7
202206,식음료업,4.9304725E7
202207,숙박업,2.2110293E7
202207,여행업,552515.0
202207,운송업,6332385.0
202207,쇼핑업,2.764945E7
202207,여가서비스업,9899197.0
202207,식음료업,4.7717327E7
202208,숙박업,2.4613491E7
202208,여행업,603574.0
202208,운송업,6879988.0
202208,쇼핑업,2.8870038E7
202208,여가서비스업,1.0315211E7
202208,식음료업,5.3474658E7
202209,숙박업,1.4271103E7
202209,여행업,419591.0
202209,운송업,5170908.0
202209,쇼핑업,2.3118928E7
202209,여가서비스업,8644622.0
202209,식음료업,3.709931E7
202210,숙박업,1.7039751E7
202210,여행업,512350.0
202210,운송업,6393737.0
202210,쇼핑업,2.9224569E7
202210,여가서비스업,1.1506017E7
202210,식음료업,4.8409003E7
202211,숙박업,1.3473935E7
202211,여행업,365329.0
202211,운송업,5536316.0
202211,쇼핑업,2.623302E7
202211,여가서비스업,9298779.0
202211,식음료업,3.852757E7
202212,숙박업,1.3054081E7
202212,여행업,436051.0
202212,운송업,5700074.0
202212,쇼핑업,2.1971823E7
202212,여가서비스업,6375304.0
202212,식음료업,3.4440681E7
202301,숙박업,1.2450194E7
202301,여행업,493396.0
202301,운송업,6669654.0
202301,쇼핑업,2.2448428E7
202301,여가서비스업,5631781.0
202301,식음료업,3.6143656E7
202302,숙박업,1.2162468E7
202302,여행업,553525.0
202302,운송업,6105853.0
202302,쇼핑업,2.2186206E7
202302,여가서비스업,6709367.0
202302,식음료업,3.686823E7
202303,숙박업,1.0350926E7
202303,여행업,602712.0
202303,운송업,6088358.0
202303,쇼핑업,2.4707282E7
202303,여가서비스업,7863546.0
202303,식음료업,3.704786E7
202304,숙박업,1.2304924E7
202304,여행업,527575.0
202304,운송업,6048300.0
202304,쇼핑업,2.7191576E7
202304,여가서비스업,8969089.0
202304,식음료업,4.0691345E7
202305,숙박업,1.3782932E7
202305,여행업,539488.0
202305,운송업,1.0691203E7
202305,쇼핑업,2.592233E7
202305,여가서비스업,9390437.0
202305,식음료업,4.0339123E7
202306,숙박업,1.3346114E7
202306,여행업,481303.0
202306,운송업,8509572.0
202306,쇼핑업,2.4019138E7
202306,여가서비스업,8861593.0
202306,식음료업,3.9381924E7
202307,숙박업,1.523622E7
202307,여행업,524248.0
202307,운송업,7666691.0
202307,쇼핑업,2.0959755E7
202307,여가서비스업,7703216.0
202307,식음료업,3.9168531E7
202308,숙박업,1.7942459E7
202308,여행업,462956.0
202308,운송업,7727643.0
202308,쇼핑업,2.2277076E7
202308,여가서비스업,8403097.0
202308,식음료업,4.4087583E7
202203,전체,8.4474402E7
202204,전체,1.11394713E8
202205,전체,1.22981102E8
202206,전체,1.19589817E8
202207,전체,1.14261166E8
202208,전체,1.24756959E8
202209,전체,8.8724462E7
202210,전체,1.13085426E8
202211,전체,9.3434949E7
202212,전체,8.1978015E7
202301,전체,8.383711E7
202302,전체,8.4585649E7
202303,전체,8.6660683E7
202304,전체,9.5732808E7
202305,전체,1.00665513E8
202306,전체,9.4599645E7
202307,전체,9.1258661E7
202308,전체,1.00900814E8
